,5 to 9 years,10 to 14 years,15 to 19 years
Sunset,860,910,1270
Mount Pleasant,465,285,300
Riley Park,570,515,525
Downtown,530,390,580
Kitsilano,680,600,740
Dunbar-Southlands,580,810,870
Kerrisdale,315,410,520
Arbutus-Ridge,340,400,580
West Point Grey,330,410,450
Marpole,365,410,700
Oakridge,230,275,420
Shaughnessy,210,250,285
Fairview,350,295,355
South Cambie,170,175,190
West End,275,200,325
Killarney,660,715,865
Renfrew-Collingwood,1035,1015,1355
Hastings-Sunrise,780,745,890
Victoria-Fraserview,565,650,940
Kensington-Cedar Cottage,1150,1060,1290
Strathcona,190,175,175
Grandview-Woodland,495,400,400
